Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,State of the building,Code Immoweb,Type of Sale,
1200 — Woluwe-Saint-Lambert,Apartment,,430000,107,1,1,0,6,,,,2,1,As new,20303198,No,
9290 — BERLARE,,Penthouse,1325000,320,1,0,0,106,,,,4,0,Good,20305455,"('Under option', 'No')",
8400 — Oostende,Apartment,,119000,69,0,0,0,0,,,,,0,To restore,20316568,No,
1070 — Anderlecht,,Duplex,235000,120,1,1,0,14,,,,2,0,To renovate,20318396,No,
1140 — Evere,Apartment,,298000,102,1,1,0,0,,,,3,1,Just renovated,20316854,No,
4000 — Liège,,Duplex,299000,168,1,1,0,30,167,167,,2,1,As new,20318399,No,
8400 — Oostende,Apartment,,429000,147,0,0,0,6,,,,,0,Good,20309333,No,
9000 — Gent,Apartment,,445000,101,0,0,0,10,,,,,0,Good,20309748,No,
1180 — Uccle,Apartment,,235000,70,1,1,0,0,,,,2,1,To renovate,20297717,"('Under option', 'No')",
1020 — Laeken,Apartment,,249000,92,1,1,0,8,,,,2,1,Good,20300918,No,
1350 — Jauche,Apartment,,179000,97,1,1,0,15,5,5,,2,1,To be done up,20314871,No,
1370 — Jodoigne,Apartment,,179000,97,1,1,0,15,5,5,,2,1,To be done up,20314875,No,
8020 — Oostkamp,Apartment,,195000,69,1,1,0,0,,,,,0,Good,20312185,No,
9940 — Evergem,Apartment,,215000,100,0,0,0,0,,,,,0,Good,20314855,No,
9000 — Gent,Apartment,,232000,71,1,0,0,0,,,,,0,Just renovated,20314859,No,
1020 — Bruxelles,,Penthouse,239000,95,1,1,0,0,,,,2,0,Good,20315149,No,
8620 — Nieuwpoort,Apartment,,295000,63,1,1,0,0,,,,,0,Good,20313522,No,
2800 — MECHELEN,Apartment,,299500,79,1,0,0,7,,,,2,0,Just renovated,20296739,No,
2800 — MECHELEN,Apartment,,299500,79,1,0,0,7,,,,2,0,Just renovated,20296738,No,
