,Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,State of the building,Code Immoweb,Type of Sale,Tenement building
598,1030 — Schaarbeek,Apartment,None,318000.0,108.0,1,1,0,7.0,None,None,None,2.0,1.0,1,20306714,no,0
599,8780 — OOSTROZEBEKE,Apartment,None,140000.0,142.0,0,0,0,7.0,None,None,None,2.0,0.0,3,20279338,no,0
600,8780 — OOSTROZEBEKE,Apartment,None,149000.0,117.0,0,0,0,7.0,None,None,None,2.0,0.0,3,20279337,no,0
601,8780 — OOSTROZEBEKE,Apartment,None,165000.0,125.0,0,0,0,20.0,None,None,None,2.0,0.0,3,20279343,no,0
602,8700 — Tielt (8700),Apartment,None,193000.0,67.0,0,1,0,14.0,None,None,None,None,0.0,3,20278359,no,0
603,8370 — BLANKENBERGE,Apartment,None,289000.0,72.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20279076,1,0
604,9052 — Zwijnaarde,Apartment,None,299000.0,94.0,1,1,0,5.0,None,None,None,None,0.0,3,20278358,no,0
605,8540 — DEERLIJK,Apartment,None,180000.0,81.0,1,0,0,1.0,None,None,None,None,0.0,3,11263737,no,0
606,9000 — Gent,Apartment,None,299000.0,150.0,1,1,0,0.0,70.0,70.0,None,2.0,0.0,2,20295809,no,0
607,2610 — Antwerpen,Apartment,None,255000.0,88.0,0,0,0,0.0,None,None,None,None,0.0,5,20314990,no,0
608,8400 — Oostende,Apartment,None,195000.0,95.0,0,1,0,2.0,None,None,None,None,0.0,1,20272656,no,0
609,1070 — Anderlecht,Apartment,None,170000.0,60.0,1,1,0,0.0,None,None,None,None,1.0,3,20291927,no,0
610,8300 — Knokke-Zoute,Apartment,None,2775000.0,164.0,1,0,0,0.0,None,None,None,3.0,0.0,5,20288796,no,0
611,4500 — Huy,Apartment,None,139500.0,55.0,1,1,0,9.0,None,None,None,2.0,0.0,3,20303484,no,0
612,4000 — Liège,Apartment,None,169000.0,60.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20308642,no,0
613,1490 — COURT-SAINT-ETIENNE,Apartment,None,170000.0,42.0,1,0,0,5.0,None,None,None,2.0,0.0,3,20307673,1,0
614,8400 — Oostende,Apartment,None,189000.0,52.0,0,1,0,0.0,None,None,None,None,0.0,none,20305561,no,0
615,1080 — Sint-Jans-Molenbeek,Apartment,None,250000.0,101.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20307259,no,0
616,1200 — Woluwe-Saint-Lambert,Apartment,None,345000.0,111.0,1,1,0,3.0,None,None,None,2.0,1.0,3,20308230,no,0
617,1070 — Anderlecht,Apartment,None,135000.0,60.0,1,0,0,0.0,None,None,None,2.0,1.0,2,11361102,1,0
618,2020 — ANTWERPEN,Apartment,None,219000.0,87.0,0,0,0,21.0,84.0,84.0,None,2.0,0.0,2,20241277,1,0
619,2880 — BORNEM,Apartment,None,224000.0,84.0,1,0,0,0.0,53.0,53.0,None,2.0,0.0,3,11388139,1,0
620,2100 — DEURNE,Apartment,None,284000.0,89.0,1,0,0,3.0,97.0,97.0,None,2.0,0.0,1,20188985,1,0
621,1020 — Brussel,Apartment,None,299000.0,106.0,1,0,0,10.0,None,None,None,2.0,1.0,3,20083285,no,0
622,2140 — BORGERHOUT,Apartment,None,149500.0,48.0,1,0,0,20.0,None,None,None,None,0.0,3,20285365,no,0
623,9450 — Haaltert,Apartment,None,365000.0,114.0,0,1,0,25.0,None,None,None,None,0.0,3,20282789,no,0
624,8300 — Knokke-Zoute,Apartment,None,2125000.0,117.0,1,1,0,0.0,None,None,None,3.0,0.0,3,20282555,no,0
625,6761 — Latour,Apartment,None,135000.0,135.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20296108,no,0
626,9000 — Gent,Apartment,None,185000.0,100.0,1,1,0,10.0,None,None,None,2.0,0.0,2,20294138,no,0
627,9000 — Gent,Apartment,None,185000.0,100.0,1,1,0,10.0,None,None,None,2.0,0.0,2,20294137,no,0
628,9000 — Gent,Apartment,None,229000.0,43.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20294805,no,0
629,1180 — Uccle,Apartment,None,245000.0,70.0,1,1,0,8.0,None,None,None,2.0,1.0,3,20294824,no,0
630,2930 — BRASSCHAAT,Apartment,None,329000.0,145.0,1,0,0,60.0,None,None,None,2.0,0.0,3,20294817,no,0
631,8300 — KNOKKE,Apartment,None,359000.0,59.0,1,0,0,0.0,None,None,None,2.0,0.0,1,20296305,no,0
632,2140 — Borgerhout,Apartment,None,169000.0,55.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20310562,no,0
633,3060 — BERTEM,Apartment,None,345000.0,68.0,1,0,0,0.0,None,None,None,2.0,0.0,none,20308136,no,0
634,1200 — Woluwe-Saint-Lambert,Apartment,None,220000.0,58.0,1,1,0,0.0,None,None,None,2.0,1.0,1,20276535,no,0
635,1083 — Ganshoren,Apartment,None,325000.0,93.0,1,1,0,8.0,None,None,None,2.0,0.0,5,20148078,1,0
636,9820 — Merelbeke,Apartment,None,275000.0,62.0,0,1,0,0.0,None,None,None,None,0.0,4,20287747,no,0
637,1081 — Koekelberg,Apartment,None,295000.0,98.0,1,1,0,5.0,None,None,None,2.0,1.0,5,20286062,no,0
638,1050 — Ixelles,Apartment,None,445000.0,85.0,1,1,0,1.0,None,None,None,2.0,1.0,4,20287839,1,0
639,5537 — Anhée,Apartment,None,179000.0,92.0,1,1,0,0.0,None,None,None,2.0,1.0,5,20301396,no,0
640,4420 — MONTEGNÉE,Apartment,None,199500.0,83.0,1,0,0,0.0,None,None,None,2.0,0.0,4,20305344,no,0
641,1170 — Watermael-Boitsfort,Apartment,None,450000.0,115.0,1,0,1,34.0,None,None,None,3.0,1.0,3,20304349,no,0
642,1050 — Ixelles,Apartment,None,950000.0,203.0,1,1,0,8.0,None,None,None,None,1.0,none,20305637,no,0
643,2100 — ANTWERPEN,Apartment,None,174900.0,70.0,1,0,0,3.0,None,None,None,2.0,0.0,1,20261211,no,0
644,9800 — Deinze,Apartment,None,139000.0,52.0,1,1,0,10.0,None,None,None,2.0,1.0,4,20319463,no,0
645,8620 — Nieuwpoort,Apartment,None,280000.0,65.0,1,0,0,0.0,None,None,None,None,0.0,3,20319018,no,0
646,3600 — Genk,Apartment,None,235000.0,78.0,1,0,0,4.0,None,None,None,None,0.0,4,20275379,no,0
647,1600 — Sint-Pieters-Leeuw,Apartment,None,259000.0,98.0,1,1,0,4.0,None,None,None,None,0.0,3,20275412,1,0
648,8450 — Bredene,Apartment,None,319000.0,87.0,1,0,0,7.0,None,None,None,None,0.0,3,20275511,no,0
649,6700 — ARLON,Apartment,None,285000.0,77.0,1,0,0,0.0,None,None,None,None,0.0,3,20293822,no,0
650,9030 — Mariakerke,Apartment,None,229500.0,96.0,0,0,0,0.0,None,None,None,None,0.0,none,20309746,no,0
651,1050 — Ixelles,Apartment,None,339000.0,87.0,1,0,0,0.0,None,None,None,2.0,1.0,3,20309401,no,0
652,8370 — Blankenberge,Apartment,None,340000.0,73.0,1,1,0,3.0,None,None,None,2.0,1.0,1,20309403,no,0
653,1300 — WAVRE,Apartment,None,169000.0,63.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20270991,no,0
654,1000 — Bruxelles,Apartment,None,285000.0,79.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20142697,1,0
655,8300 — Knokke-Heist,Apartment,None,649000.0,71.0,0,1,0,3.0,None,None,None,2.0,0.0,3,20270324,no,0
656,6700 — Aarlen,Apartment,None,190000.0,55.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20220247,no,0
657,6700 — Aarlen,Apartment,None,205000.0,60.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20220246,no,0
658,8660 — De Panne,Apartment,None,295000.0,88.0,1,0,0,0.0,None,None,None,None,0.0,3,20285251,no,0
659,1050 — Ixelles,Apartment,None,850000.0,227.0,1,0,0,25.0,None,None,None,3.0,1.0,3,20268382,no,0
660,4020 — Liege,Apartment,None,170000.0,72.0,1,1,0,35.0,None,None,None,2.0,1.0,3,20297569,no,0
661,1030 — Schaerbeek,Apartment,None,349000.0,131.0,1,1,0,2.0,None,None,None,2.0,1.0,3,20297760,1,0
662,1200 — Woluwe-Saint-Lambert,Apartment,None,349000.0,131.0,1,1,0,2.0,None,None,None,2.0,1.0,3,20297759,1,0
663,2660 — HOBOKEN,Apartment,None,199000.0,82.0,1,0,0,2.0,None,None,None,2.0,0.0,3,20265224,1,0
664,1160 — Auderghem,Apartment,None,725000.0,165.0,1,1,0,13.0,None,None,None,2.0,1.0,1,20167051,1,0
665,1800 — Vilvoorde,Apartment,None,325000.0,90.0,1,1,0,0.0,None,None,None,None,0.0,3,20280147,no,0
666,8620 — NIEUWPOORT,Apartment,None,685000.0,100.0,1,0,0,19.0,None,None,None,4.0,0.0,5,20280762,1,0
667,1050 — Ixelles,Apartment,None,495000.0,126.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20291724,no,0
668,8300 — Knokke-Heist,Apartment,None,1195000.0,78.0,1,1,0,4.0,None,None,None,2.0,1.0,4,20292320,no,0
669,1180 — UCCLE,Apartment,None,515000.0,135.0,1,0,1,35.0,None,None,None,3.0,0.0,2,20309715,no,0
670,9000 — Gent,Apartment,None,999000.0,180.0,1,0,0,0.0,52.0,52.0,None,2.0,0.0,5,20308256,no,0
671,8800 — ROESELARE,Apartment,None,219000.0,72.0,1,0,0,18.0,None,None,None,2.0,0.0,3,20279375,no,0
672,1000 — Bruxelles,Apartment,None,495000.0,109.0,1,1,0,1.0,None,None,None,2.0,1.0,3,20189681,no,0
673,1000 — Bruxelles,Apartment,None,925000.0,207.0,1,1,0,1.0,None,None,None,2.0,1.0,3,20189683,no,0
674,1200 — Woluwe-Saint-Lambert,Apartment,None,170000.0,42.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20299031,1,0
675,2500 — Lier,Apartment,None,237000.0,73.0,1,0,0,0.0,None,None,None,3.0,0.0,5,20311756,no,0
676,1410 — Waterloo,Apartment,None,485000.0,76.0,1,1,0,10.0,None,None,None,3.0,1.0,3,20311389,no,0
677,8300 — Knokke-Heist,Apartment,None,699000.0,101.0,1,0,0,0.0,None,None,None,2.0,1.0,5,20313659,no,0
678,8620 — Nieuwpoort,Apartment,None,199000.0,47.0,1,0,0,0.0,None,None,None,None,0.0,none,20304634,no,0
679,9300 — Aalst (9300),Apartment,None,199000.0,104.0,0,0,0,0.0,None,None,None,None,0.0,none,20303195,no,0
680,8400 — OOSTENDE,Apartment,None,249000.0,88.0,0,0,0,0.0,None,None,None,2.0,0.0,4,20306126,no,0
681,9000 — Gent,Apartment,None,275000.0,43.0,1,1,0,2.0,None,None,None,None,0.0,5,20304460,no,0
682,2000 — Antwerpen,Apartment,None,350000.0,116.0,1,1,0,4.0,None,None,None,2.0,0.0,3,20303456,no,0
683,8400 — Oostende,Apartment,None,930000.0,301.0,1,1,0,0.0,None,None,None,2.0,0.0,none,20304621,no,0
684,1140 — Evere,Apartment,None,389000.0,86.0,1,1,0,8.0,None,None,None,2.0,1.0,5,20243428,no,0
685,8400 — Oostende,Apartment,None,295000.0,78.0,1,1,0,6.0,None,None,None,None,0.0,5,20267376,no,0
686,3000 — Leuven,Apartment,None,415000.0,114.0,1,0,0,2.0,None,None,None,None,0.0,3,20267354,no,0
687,2040 — Zandvliet,Apartment,None,299999.0,85.0,1,1,0,0.0,None,None,None,None,0.0,3,20282628,no,0
688,9000 — GENT,Apartment,None,197000.0,80.0,1,0,0,2.0,None,None,None,2.0,0.0,none,20294792,no,0
689,8400 — Oostende,Apartment,None,695000.0,100.0,0,1,0,0.0,None,None,None,None,0.0,3,20279556,no,0
690,2050 — ANTWERPEN,Apartment,None,149000.0,47.0,1,0,0,0.0,None,None,None,4.0,0.0,3,20288992,no,0
691,4020 — Liège,Apartment,None,155000.0,92.0,1,1,0,35.0,None,None,None,2.0,1.0,3,20287189,no,0
692,8800 — Roeselare,Apartment,None,159000.0,123.0,1,0,0,0.0,None,None,None,None,0.0,1,20285828,no,0
693,1080 — Molenbeek-Saint-Jean,Apartment,None,230000.0,92.0,1,0,0,3.0,None,None,None,2.0,1.0,3,20285971,no,0
694,8830 — Hooglede,Apartment,None,479000.0,154.0,1,0,0,0.0,None,None,None,None,0.0,3,20285824,no,0
695,1070 — Anderlecht,Apartment,None,245000.0,64.0,1,1,0,0.0,None,None,None,None,1.0,5,20291715,no,0
696,1190 — Forest,Apartment,None,235000.0,85.0,1,1,0,4.0,None,None,None,2.0,0.0,1,20302505,no,0
697,2140 — BORGERHOUT,Apartment,None,209000.0,88.0,1,0,0,8.0,None,None,None,2.0,0.0,3,20257881,no,0
698,8400 — Oostende,Apartment,None,215000.0,50.0,1,1,0,6.0,None,None,None,None,0.0,3,20275032,no,0
699,9140 — Temse,Apartment,None,395000.0,90.0,1,1,0,0.0,None,None,None,None,0.0,none,20318984,no,0
700,9050 — Gentbrugge,Apartment,None,649000.0,129.0,1,0,0,0.0,280.0,280.0,None,None,0.0,5,20275554,no,0
701,8400 — Oostende,Apartment,None,225000.0,83.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20309987,no,0
702,1070 — Anderlecht,Apartment,None,245000.0,70.0,1,1,0,3.0,None,None,None,2.0,1.0,5,20255317,no,0
703,1070 — Anderlecht,Apartment,None,245000.0,87.0,1,0,0,3.0,100.0,100.0,None,2.0,1.0,3,20209202,no,0
704,1190 — Forest,Apartment,None,259000.0,69.0,1,1,0,3.0,None,None,None,2.0,1.0,3,20195418,1,0
705,1000 — Bruxelles,Apartment,None,277500.0,60.0,1,1,0,0.0,None,None,None,None,1.0,5,20284176,no,0
706,1080 — Molenbeek-Saint-Jean,Apartment,None,300000.0,85.0,1,1,0,25.0,None,None,None,2.0,1.0,3,20233538,no,0
707,4020 — Liege,Apartment,None,120000.0,53.0,1,1,0,35.0,None,None,None,2.0,1.0,3,20297765,no,0
708,4020 — Liege,Apartment,None,140000.0,55.0,1,1,0,35.0,None,None,None,2.0,1.0,3,20297570,no,0
709,4340 — Awans,Apartment,None,229000.0,60.0,1,1,0,27.0,None,None,None,2.0,0.0,5,20300910,no,0
710,2000 — Antwerpen,Apartment,None,169000.0,40.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20316079,no,0
711,8300 — Knokke,Apartment,None,399000.0,40.0,0,0,0,0.0,None,None,None,None,0.0,3,20314390,no,0
712,9991 — Adegem,Apartment,None,180000.0,85.0,0,0,0,0.0,None,None,None,None,0.0,3,20292039,no,0
713,1050 — Ixelles,Apartment,None,1450000.0,300.0,1,1,0,0.0,None,None,None,2.0,1.0,4,20291720,no,0
714,9000 — Gent,Apartment,None,229500.0,96.0,0,0,0,0.0,None,None,None,None,0.0,none,20308615,no,0
715,1090 — Jette,Apartment,None,499000.0,149.0,1,1,0,10.0,None,None,None,2.0,0.0,3,20308957,no,0
716,2018 — Antwerpen,Apartment,None,585000.0,134.0,0,0,0,12.0,None,None,None,3.0,1.0,5,20308648,no,0
717,1060 — Saint-Gilles,Apartment,None,765000.0,254.0,1,1,0,27.0,None,None,None,None,1.0,3,20234144,no,0
718,8300 — Knokke,Apartment,None,985000.0,70.0,0,1,0,0.0,None,None,None,None,0.0,3,20278568,no,0
719,8300 — Knokke-Heist,Apartment,None,1250000.0,75.0,1,1,0,0.0,None,None,None,2.0,0.0,4,20278335,no,0
720,8300 — Knokke,Apartment,None,2975000.0,131.0,0,0,0,0.0,None,None,None,None,0.0,5,20276782,no,0
721,8300 — Knokke,Apartment,None,3850000.0,187.0,0,1,0,0.0,None,None,None,None,0.0,3,20276762,no,0
722,8300 — Knokke,Apartment,None,4645000.0,123.0,0,0,0,0.0,None,None,None,None,0.0,5,20276773,no,0
723,2850 — Boom,Apartment,None,259000.0,91.0,0,1,0,85.0,None,None,None,None,0.0,none,20297009,no,0
724,1300 — Wavre,Apartment,None,299000.0,155.0,1,1,0,44.0,None,None,None,2.0,1.0,2,20295071,no,0
725,9770 — KRUISEM,Apartment,None,335000.0,110.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20299770,no,0
726,6700 — Arlon (Stockem),Apartment,None,209000.0,65.0,1,0,0,0.0,413.0,413.0,None,2.0,0.0,3,20257814,1,0
727,9150 — Kruibeke Bazel,Apartment,None,230000.0,82.0,1,1,0,8.0,None,None,None,2.0,0.0,3,20310572,no,0
728,1140 — Evere,Apartment,None,348000.0,110.0,1,0,0,9.0,None,None,None,2.0,0.0,3,20310905,no,0
729,1180 — Uccle,Apartment,None,545000.0,123.0,0,1,0,25.0,None,None,None,None,1.0,5,20262851,no,0
730,9890 — Gavere,Apartment,None,185000.0,55.0,0,1,0,25.0,None,None,None,2.0,0.0,3,20272902,no,0
731,3500 — Hasselt,Apartment,None,299000.0,92.0,0,0,0,22.0,None,None,None,None,0.0,3,20272725,no,0
732,6700 — ARLON,Apartment,None,160000.0,55.0,1,0,0,0.0,None,None,None,4.0,0.0,3,20291797,no,0
733,1080 — Molenbeek-Saint-Jean,Apartment,None,175000.0,71.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20289607,no,0
734,1400 — NIVELLES,Apartment,None,230000.0,150.0,1,0,0,0.0,None,None,None,2.0,0.0,1,20291885,no,0
735,1050 — Ixelles,Apartment,None,295000.0,62.0,1,1,0,0.0,None,None,None,3.0,1.0,3,20289747,no,0
736,9600 — Ronse,Apartment,None,179000.0,107.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20306336,no,0
737,9000 — Gent,Apartment,None,455000.0,70.0,1,0,0,6.0,None,None,None,None,0.0,4,20303792,no,0
738,2660 — HOBOKEN,Apartment,None,175000.0,90.0,1,0,0,5.0,None,None,None,None,0.0,3,20180608,no,0
739,2100 — DEURNE,Apartment,None,179000.0,72.0,1,1,0,5.0,None,None,None,2.0,0.0,3,20151618,1,0
740,2140 — BORGERHOUT,Apartment,None,None,72.0,1,1,0,5.0,None,None,None,2.0,0.0,3,20078303,no,0
741,2140 — BORGERHOUT,Apartment,None,194900.0,75.0,1,0,0,3.0,None,None,None,2.0,0.0,3,20242596,1,0
742,2600 — BERCHEM,Apartment,None,194900.0,75.0,1,0,0,3.0,None,None,None,2.0,0.0,3,20242595,1,0
743,2020 — ANTWERPEN,Apartment,None,199000.0,104.0,1,0,0,2.0,None,None,None,2.0,0.0,5,20214720,no,0
744,1400 — NIVELLES,Apartment,None,219000.0,100.0,1,1,0,11.0,None,None,None,2.0,1.0,1,20218830,no,0
745,2900 — SCHOTEN,Apartment,None,225000.0,95.0,1,0,0,3.0,None,None,None,None,0.0,3,20233362,1,0
746,2600 — BERCHEM,Apartment,None,240000.0,90.0,1,0,0,17.0,None,None,None,None,0.0,3,20237612,no,0
747,1300 — WAVRE,Apartment,None,245000.0,85.0,1,1,0,16.0,None,None,None,4.0,1.0,2,20048409,1,0
748,1301 — BIERGES,Apartment,None,245000.0,85.0,1,1,0,16.0,None,None,None,4.0,1.0,2,20047478,1,0
749,1150 — Woluwe-Saint-Pierre,Apartment,None,249000.0,77.0,1,0,0,0.0,7.0,7.0,None,None,1.0,3,20053999,no,0
750,2660 — Hoboken,Apartment,None,259000.0,95.0,0,0,0,9.0,None,None,None,None,0.0,5,20204444,1,0
751,4000 — LIÈGE,Apartment,None,268000.0,90.0,1,0,0,18.0,45.0,45.0,None,2.0,0.0,3,11368520,no,0
752,4000 — LIÈGE,Apartment,None,275000.0,98.0,1,0,0,3.0,None,None,None,2.0,0.0,4,11402961,no,0
753,2018 — ANTWERPEN,Apartment,None,289000.0,80.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20165955,no,0
754,2600 — BERCHEM,Apartment,None,289000.0,86.0,1,0,0,11.0,None,None,None,None,0.0,4,20227281,1,0
755,2100 — DEURNE,Apartment,None,295000.0,126.0,1,0,0,0.0,200.0,200.0,None,None,0.0,3,20245601,1,0
756,2660 — HOBOKEN,Apartment,None,296000.0,100.0,0,0,0,9.0,None,None,None,2.0,0.0,5,20071269,no,0
757,1150 — Woluwe-Saint-Pierre,Apartment,None,398000.0,90.0,1,0,1,4.0,None,None,None,2.0,1.0,3,20279794,no,0
758,2600 — BERCHEM,Apartment,None,419000.0,145.0,1,0,1,20.0,None,None,None,None,0.0,3,20221373,no,0
759,1820 — STEENOKKERZEEL,Apartment,None,429000.0,123.0,1,0,0,18.0,None,None,None,2.0,0.0,3,20050372,no,0
760,1000 — Bruxelles,Apartment,None,550000.0,167.0,1,1,0,12.0,60.0,60.0,None,2.0,1.0,3,20133689,1,0
761,3920 — Lommel,Apartment,None,569000.0,143.0,1,0,0,30.0,None,None,None,2.0,0.0,5,20194759,no,0
762,8301 — Heist-aan-Zee,Apartment,None,645000.0,91.0,1,1,0,11.0,None,None,None,2.0,0.0,3,20046743,no,0
763,8300 — Knokke,Apartment,None,985000.0,70.0,1,1,0,50.0,None,None,None,2.0,0.0,4,11040240,no,0
764,8300 — Knokke,Apartment,None,1195000.0,105.0,1,1,0,4.0,None,None,None,2.0,0.0,4,11028615,no,0
765,2940 — Stabroek,Apartment,None,215000.0,94.0,1,0,0,0.0,None,None,None,None,0.0,3,20267403,no,0
766,8400 — Oostende,Apartment,None,234000.0,70.0,1,1,0,2.0,None,None,None,None,0.0,3,11427787,no,0
767,3000 — Leuven,Apartment,None,425000.0,112.0,1,1,0,0.0,None,None,None,None,0.0,3,20267586,no,0
768,1150 — Woluwe-Saint-Pierre,Apartment,None,655000.0,170.0,1,1,0,22.0,None,None,None,2.0,1.0,3,20044380,no,0
769,4400 — FLÉMALLE-GRANDE,Apartment,None,230000.0,220.0,1,0,0,16.0,None,None,None,2.0,0.0,0,20284077,no,0
770,8300 — Knokke-Zoute,Apartment,None,3495000.0,200.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20282297,no,0
771,8300 — Knokke-Zoute,Apartment,None,3950000.0,100.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20282554,no,0
772,2018 — Antwerpen,Apartment,None,349000.0,112.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20296853,1,0
773,2000 — ANTWERPEN,Apartment,None,209000.0,54.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20290247,no,0
774,8800 — Roeselare,Apartment,None,229000.0,90.0,1,0,0,0.0,None,None,None,None,0.0,3,20285820,no,0
775,8670 — Sint-Idesbald,Apartment,None,249000.0,106.0,1,0,0,0.0,None,None,None,None,0.0,2,20287600,no,0
776,2900 — SCHOTEN,Apartment,None,300000.0,90.0,1,0,0,0.0,None,None,None,None,0.0,3,20289876,no,0
777,8650 — Houthulst,Apartment,None,519150.0,254.0,1,1,0,0.0,None,None,None,None,0.0,3,20287622,no,0
778,2223 — Schriek,Apartment,None,220000.0,72.0,1,0,0,0.0,None,None,None,None,0.0,none,20302770,no,0
779,1853 — Grimbergen Strombeek-Bever,Apartment,None,260000.0,85.0,1,1,0,30.0,None,None,None,2.0,0.0,3,20303487,no,0
780,2500 — LIER,Apartment,None,339000.0,96.0,1,0,0,7.0,None,None,None,2.0,0.0,none,20303846,no,0
781,2000 — Antwerpen,Apartment,None,925000.0,249.0,1,0,0,80.0,None,None,None,2.0,0.0,5,20301074,no,0
782,1502 — Halle,Apartment,None,178000.0,81.0,1,0,0,0.0,None,None,None,2.0,1.0,1,20319036,no,0
783,2060 — Antwerpen,Apartment,None,180000.0,72.0,1,1,0,8.0,None,None,None,2.0,0.0,4,20316411,no,0
784,2275 — Lille,Apartment,None,299000.0,115.0,0,1,0,23.0,None,None,None,2.0,0.0,5,20316879,no,0
785,8620 — Nieuwpoort,Apartment,None,725000.0,113.0,0,1,0,0.0,None,None,None,None,0.0,2,20318976,no,0
786,1702 — Groot-Bijgaarden,Apartment,None,279000.0,102.0,1,1,0,0.0,None,None,None,None,0.0,3,20275413,no,0
787,8430 — MIDDELKERKE,Apartment,None,650000.0,100.0,1,1,0,0.0,None,None,None,None,0.0,4,20276748,no,0
788,9050 — Gent,Apartment,None,279000.0,95.0,1,0,0,0.0,1.0,1.0,None,3.0,1.0,3,20293239,no,0
789,5170 — Profondeville Lustin,Apartment,None,220000.0,75.0,1,1,0,10.0,38.0,38.0,None,3.0,1.0,5,20309639,no,0
790,1932 — Zaventem Sint-Stevens-Woluwe,Apartment,None,245000.0,68.0,1,1,0,12.0,None,None,None,2.0,1.0,5,20217507,no,0
791,1190 — Forest,Apartment,None,340000.0,97.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20266263,1,0
792,1210 — Saint-Josse-ten-Noode,Apartment,None,149000.0,48.0,1,1,0,0.0,None,None,None,2.0,1.0,2,20235820,no,0
793,8670 — Koksijde,Apartment,None,199000.0,38.0,1,0,0,0.0,None,None,None,None,0.0,1,20283828,no,0
794,1080 — MOLENBEEK-SAINT-JEAN,Apartment,None,220000.0,100.0,1,1,0,8.0,None,None,None,2.0,1.0,5,20129098,1,0
795,1090 — Jette,Apartment,None,220000.0,94.0,1,1,0,0.0,None,None,None,None,0.0,1,20285659,no,0
796,2100 — DEURNE,Apartment,None,249000.0,100.0,1,0,0,0.0,None,None,None,3.0,0.0,3,20287524,no,0
797,1140 — Evere,Apartment,None,345000.0,89.0,1,1,0,3.0,None,None,None,3.0,0.0,5,20262929,no,0
798,1000 — Bruxelles,Apartment,None,365000.0,84.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20199209,1,0
799,1200 — Woluwe-Saint-Lambert,Apartment,None,420000.0,110.0,1,1,0,9.0,None,None,None,None,1.0,3,20234145,1,0
800,8830 — Hooglede,Apartment,None,479000.0,154.0,1,0,0,0.0,None,None,None,None,0.0,3,20242958,no,0
801,1000 — Bruxelles,Apartment,None,499000.0,200.0,0,1,1,25.0,None,None,None,None,1.0,3,20264602,no,0
802,1060 — Saint-Gilles,Apartment,None,595000.0,155.0,1,1,0,0.0,None,None,None,3.0,1.0,4,20260335,1,0
803,7700 — MOESKROEN,Apartment,None,179000.0,84.0,1,0,0,10.0,None,None,None,None,0.0,none,20300529,no,0
804,4100 — Seraing,Apartment,None,190000.0,91.0,1,1,0,0.0,None,None,None,2.0,0.0,1,20297495,no,0
805,9308 — HOFSTADE,Apartment,None,239000.0,92.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20265644,no,0
806,1410 — Waterloo,Apartment,None,345000.0,98.0,1,0,0,14.0,None,None,None,3.0,1.0,3,20311736,no,0
807,2100 — DEURNE,Apartment,None,365000.0,120.0,1,0,0,5.0,None,None,None,2.0,0.0,4,20265781,no,0
808,3140 — Keerbergen,Apartment,None,385000.0,156.0,1,0,0,0.0,None,None,None,2.0,1.0,3,20315487,no,0
809,1180 — Uccle,Apartment,None,1195000.0,316.0,1,1,0,19.0,None,None,None,2.0,1.0,3,20315527,no,0
810,8500 — Kortrijk,Apartment,None,117500.0,85.0,0,1,0,0.0,None,None,None,None,0.0,2,20280155,no,0
811,1050 — Ixelles,Apartment,None,395000.0,65.0,1,0,0,0.0,None,None,None,3.0,1.0,5,20307225,no,0
812,2940 — Hoevenen,Apartment,None,175000.0,78.0,1,1,0,0.0,None,None,None,None,0.0,2,20278431,no,0
813,8300 — Knokke,Apartment,None,815000.0,80.0,0,1,0,0.0,None,None,None,None,0.0,3,20276760,no,0
814,8300 — Knokke-Zoute,Apartment,None,985000.0,67.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20278338,no,0
815,8300 — Knokke,Apartment,None,1050000.0,79.0,0,0,0,0.0,None,None,None,None,0.0,3,20278567,no,0
816,8300 — Knokke-Zoute,Apartment,None,1050000.0,79.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20278339,no,0
817,8300 — Knokke,Apartment,None,1950000.0,128.0,0,0,0,0.0,None,None,None,None,0.0,5,20276757,no,0
