,Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,State of the building,Code Immoweb,Type of Sale,Tenement building
69,9620 — Zottegem,Apartment,None,319500.0,90.0,1,1,0,13.0,None,None,None,None,0.0,3,20310100,no,0
70,8300 — Knokke,Apartment,None,765000.0,99.0,1,1,0,10.0,None,None,None,2.0,0.0,2,20309681,no,0
71,4000 — Liège,Apartment,None,169000.0,94.0,1,0,0,8.0,None,None,None,4.0,0.0,none,20316893,no,0
72,8420 — De Haan,Apartment,None,185000.0,57.0,1,1,0,0.0,None,None,None,None,1.0,3,20311480,no,0
73,8434 — Westende,Apartment,None,219000.0,63.0,0,0,0,4.0,None,None,None,None,0.0,3,20314996,no,0
74,9300 — Aalst (9300),Apartment,None,240000.0,104.0,0,1,0,0.0,None,None,None,None,0.0,3,20312205,no,0
75,8800 — Roeselare,Apartment,None,325000.0,94.0,0,0,0,5.0,29.0,29.0,None,None,0.0,3,20314962,no,0
76,8434 — Westende,Apartment,None,199500.0,61.0,0,1,0,0.0,None,None,None,None,0.0,3,20311522,no,0
77,2550 — KONTICH,Apartment,None,695000.0,240.0,1,0,0,27.0,None,None,None,None,0.0,3,20306709,no,0
78,1083 — Ganshoren,Apartment,None,230000.0,95.0,1,1,0,6.0,None,None,None,2.0,1.0,1,20301066,1,0
79,9500 — GERAARDSBERGEN,Apartment,None,199000.0,75.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20318232,no,0
80,1140 — Evere,Apartment,None,285000.0,87.0,1,0,0,3.0,None,None,None,None,0.0,3,20317294,no,0
81,1160 — AUDERGHEM,Apartment,None,300000.0,107.0,1,0,0,11.0,None,None,None,None,0.0,3,20318694,no,0
82,1050 — Ixelles,Apartment,None,329000.0,80.0,1,1,0,2.0,None,None,None,2.0,1.0,5,20316855,no,0
83,1180 — Uccle,Apartment,None,475000.0,139.0,1,1,0,8.0,None,None,None,3.0,1.0,1,20318382,no,0
84,2600 — BERCHEM,Apartment,None,249000.0,100.0,1,0,0,10.0,None,None,None,None,0.0,2,20309857,no,0
85,8400 — Oostende,Apartment,None,419000.0,105.0,0,0,0,14.0,None,None,None,None,0.0,3,20309137,no,0
86,2940 — Hoevenen,Apartment,None,257000.0,80.0,1,1,0,50.0,None,None,None,None,0.0,3,20307431,no,0
87,2060 — ANTWERPEN,Apartment,None,279500.0,92.0,1,0,0,30.0,None,None,None,2.0,0.0,3,20309142,no,0
88,2140 — BORGERHOUT,Apartment,None,214000.0,70.0,1,0,0,0.0,None,None,None,None,0.0,3,20314465,no,0
89,1180 — Uccle,Apartment,None,310000.0,98.0,1,1,0,12.0,None,None,None,3.0,1.0,2,20312280,no,0
